title,price,description,images,video,colors,sizes,currency,status
Sample T-Shirt,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look—ideal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/01___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
Premium Dress,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look—ideal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/02___KONICA.jpg,https://example.com/dress-video.mp4,black,"M,L,XL,XXL",INR,ACTIVE
Simple Polo,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look—ideal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/04___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look—ideal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/05___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look—ideal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/06___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look—ideal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/07___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look—ideal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/08___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look—ideal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/09___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look—ideal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/10___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look—ideal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/110___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look—ideal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/111___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look—ideal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/116___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
,549,"This elegant georgette shirt is designed for a sharp, professional appearance with effortless comfort. The soft, flowy fabric creates a graceful fall, while the 3/4th sleeves add a refined, modern touch. Lightweight and breathable, it keeps you comfortable through long work hours while maintaining a crisp, formal look—ideal for office wear, presentations, and polished day-to-evening styling.",https://pub-bc73237650a24175b763c871869b4cf9.r2.dev/products/11___KONICA.jpg,,black,"M,L,XL,XXL",INR,ACTIVE
